0_1_25-9-2013_7,0,1,7,9812.719,,,
0_1_18-9-2013_7,0,1,7,29219.686,,,
0_1_13-9-2013_7,0,1,7,25816.26700000001,,,
0_1_9-9-2013_7,0,1,7,5615.8809999999985,,,
0_1_12-9-2013_7,0,1,7,4975.183999999998,,,
0_1_16-9-2013_7,0,1,7,32377.348,,,
0_1_10-9-2013_7,0,1,7,29636.132,,,
0_1_4-9-2013_7,0,1,7,30597.948999999986,,,
0_1_2-9-2013_7,0,1,7,6406.521,,,
0_1_14-9-2013_7,0,1,7,30949.794999999995,,,
0_1_15-9-2013_7,0,1,7,8437.042,,,
0_1_7-9-2013_7,0,1,7,2224.896,,,
0_1_27-9-2013_7,0,1,7,29404.171999999984,,,
0_1_3-9-2013_7,0,1,7,28611.992,,,
0_1_1-9-2013_7,0,1,7,27339.21299999999,,,
0_1_6-9-2013_7,0,1,7,6531.6839999999975,,,
0_1_8-9-2013_7,0,1,7,6019.526999999999,,,
0_1_11-9-2013_7,0,1,7,28098.208000000013,,,
0_1_5-9-2013_7,0,1,7,7903.808000000001,,,
0_1_19-9-2013_7,0,1,7,31277.326999999994,,,
0_1_17-9-2013_7,0,1,7,30782.988000000005,,,
0_12_10-9-2013_4,0,12,4,692.584,,,
0_12_24-9-2013_4,0,12,4,1900.894,,,
0_12_25-9-2013_4,0,12,4,1735.2880000000002,,,
0_12_26-9-2013_4,0,12,4,1704.9139999999993,,,
0_12_23-9-2013_4,0,12,4,636.693,,,
0_12_27-9-2013_4,0,12,4,1328.844,,,
0_12_17-9-2013_4,0,12,4,188.21599999999998,,,
0_0_9-9-2013_0,0,0,0,1346.83,,,
0_0_30-9-2013_0,0,0,0,1664.6129999999996,,,
0_0_16-9-2013_0,0,0,0,1777.7089999999994,,,
0_0_22-9-2013_0,0,0,0,3353.8789999999995,,,
0_0_25-9-2013_0,0,0,0,1633.2170000000006,,,
0_0_10-9-2013_0,0,0,0,1729.8529999999996,,,
0_0_26-9-2013_0,0,0,0,2998.9980000000005,,,
0_0_24-9-2013_0,0,0,0,1629.8459999999993,,,
0_0_11-9-2013_0,0,0,0,1644.429,,,
0_0_28-9-2013_0,0,0,0,143.906,,,
0_0_23-9-2013_0,0,0,0,3168.061,,,
0_0_2-9-2013_0,0,0,0,1612.305,,,
0_0_12-9-2013_0,0,0,0,1645.5200000000007,,,
0_0_20-9-2013_0,0,0,0,3544.148000000001,,,
0_0_17-9-2013_0,0,0,0,3359.2990000000004,,,
0_0_15-9-2013_0,0,0,0,1622.9009999999996,,,
0_0_29-9-2013_0,0,0,0,144.936,,,
0_0_27-9-2013_0,0,0,0,1749.5169999999994,,,
0_0_18-9-2013_0,0,0,0,1669.005,,,
0_0_13-9-2013_0,0,0,0,1172.8510000000006,,,
0_0_14-9-2013_0,0,0,0,1563.2690000000007,,,
0_0_19-9-2013_0,0,0,0,3208.441000000001,,,
0_0_1-9-2013_0,0,0,0,1708.013,,,
